budget,mean,std,median,min,max
100,0.025333333333333333,0.013829836145670417,0.02,0.0,0.06
300,0.02422222222222222,0.007971853423058083,0.023333333333333334,0.013333333333333334,0.04666666666666667
500,0.0278,0.007919421783142401,0.026,0.014,0.046
1000,0.026233333333333334,0.004344503728123403,0.026,0.018,0.034
