budget,mean,std,median,min,max
100,0.12933333333333333,0.03503036449684201,0.13,0.06,0.2
300,0.12522222222222223,0.018951103311694643,0.125,0.09666666666666666,0.16
500,0.12806666666666666,0.012412266828266787,0.127,0.11,0.156
1000,0.12696666666666667,0.010574801973635682,0.1265,0.11,0.15
